percentage_nonneedbased_aid,four_year_grad_rate,admit_rate,avg_grad_debt,avg_needbased_aid,avg_nonneedbased_aid,instate_tuition,location,name,rank,value_rank,grad_salary,state,total_cost_per_year,tuition_and_fees,undergrad_enrollment,conference
43,76,40,33305,30279,19846,,"Washington, DC",George Washington University,56,171,67100,DC,67843,51950,11157,Atlantic 10
33,71,65,33150,9280,7568,12520,"Newark, DE",University of Delaware,79,172,55100,DE,46282,31420,18322,Colonial Athletic Conference
59,64,35,30561,28156,23479,,"Cleveland, OH",Case Western Reserve University,37,176,69900,OH,64024,46006,5121,University Athletic Conference
68,58,37,34136,5679,19520,,"Tulsa, OK",University of Tulsa,86,179,45100,OK,53825,38796,3478,American Athletic Conference
18,40,70,28444,6098,2625,8065,"Norman, OK",University of Oklahoma,111,186,48700,OK,38152,21451,22132,Big 12
57,54,68,29012,5148,6707,11854,"Columbia, SC",University of South Carolina,107,187,43000,SC,43014,31282,25237,Southeastern Conference
23,34,63,23001,10040,4030,8853,"Ruston, LA",Louisiana Tech University,202,189,41000,LA,27699,25851,10682,Conference USA
6,34,35,19969,9600,2500,7084,"San Diego, CA",San Diego State University,146,196,48300,CA,37160,18244,29234,Mountain West Conference
19,42,63,24182,7025,5035,8820,"Fayetteville, AR",University of Arkansas,135,197,43100,AR,36058,23168,22159,Southeastern Conference
44,76,37,29640,36283,18523,,"Malibu, CA",Pepperdine University,50,199,61100,CA,68362,50022,3533,West Coast Conference
62,66,53,31077,30824,16702,,"Denver, CO",University of Denver,86,202,53800,CO,62481,46362,5758,The Summit League
34,44,53,33816,11597,14770,10470,"Tuscaloosa, AL",University of Alabama,103,208,42700,AL,39274,26950,31958,Southeastern Conference
78,58,40,44540,22291,13976,,"Waco, TX",Baylor University,71,209,49400,TX,57333,42006,14189,Big 12
48,74,45,29291,26412,16743,,"New York, NY",Fordham University,60,210,57400,NY,69443,47317,8855,Atlantic 10
23,40,49,26181,8264,27095,,"Washington, DC",Howard University,124,212,46800,DC,40701,24908,6883,Mid-Eastern Athletic Conference
15,59,63,31181,6137,15077,,"Jackson, TN",Union University,169,217,41200,TN,43080,30420,2829,Gulf South Conference
32,66,51,29646,25655,14502,,"San Diego, CA",University of San Diego,86,223,59300,CA,62186,46140,5647,West Coast Conference
27,47,81,28170,7690,7083,10696,"Auburn, AL",Auburn University,99,227,47100,AL,44172,28840,21786,Southeastern Conference
29,29,76,21081,7029,6212,8518,"Salt Lake City, UT",University of Utah,111,232,51000,UT,39166,27039,23794,Pac-12 Conference
29,44,75,26685,9807,4276,9518,"Columbia, MO",University of Missouri,111,234,46100,MO,38554,25892,27812,Southeastern Conference
50,68,49,29601,22210,23323,,"Dallas, TX",Southern Methodist University,56,237,57300,TX,70284,50358,6411,American Athletic Conference
65,61,44,35000,33119,17920,,"Troy, NY",Rensselaer Polytechnic Institute,39,238,77900,NY,70132,50797,5864,Liberty League
85,60,84,35421,20324,11877,,"Milwaukee, WI",Marquette University,86,242,59000,WI,52702,38470,8334,Big East
22,28,73,23553,9166,8101,10738,"Louisville, KY",University of Louisville,171,243,40300,KY,35616,24626,15769,Atlantic Coast Conference
24,43,77,24420,9760,5348,12668,"Knoxville, TN",University of Tennessee,103,246,43400,TN,43684,30858,21863,Southeastern Conference
38,37,78,28162,8561,8057,7744,"University, MS",University of Mississippi,135,249,41100,MS,35256,22012,18785,Southeastern Conference
13,52,66,31579,10183,9960,14070,"East Lansing, MI",Michigan State University,82,252,51500,MI,50465,39090,39143,Big Ten
25,44,52,37708,6812,7109,15688,"Philadelphia, PA",Temple University,118,254,48600,PA,41096,25994,28609,American Athletic Conference
27,69,52,37753,29432,12835,,"Syracuse, NY",Syracuse University,60,255,58400,NY,63782,45022,15196,Atlantic Coast Conference
45,39,75,24252,7293,5617,7778,"Stillwater, OK",Oklahoma State University,152,262,44300,OK,33604,20978,21046,Big 12
61,58,60,37571,23166,15516,,"Dayton, OH",University of Dayton,111,268,51600,OH,55930,40940,8665,Atlantic 10
22,62,83,40307,20378,17372,,"St. Paul, MN",University of St. Thomas,118,269,55600,MN,52268,39594,6240,Minnesota Intercollegiate Athletic Conference
76,57,68,23500,30647,22172,,"Potsdam, NY",Clarkson University,129,275,68900,NY,63870,46132,3257,Liberty League
4,23,59,23665,8121,5233,10710,"Houston, TX",University of Houston,194,276,49900,TX,37256,25410,34716,American Athletic Conference
29,48,81,27715,7399,4768,8325,"Iowa City, IA",University of Iowa,82,280,50200,IA,42009,28413,23357,Big Ten
52,62,69,26964,15647,10950,17300,"Burlington, VT",University of Vermont,92,283,45200,VT,54578,40364,10973,America East Conference
50,29,55,38198,21300,11400,,"Rochester, NY",Rochester Institute of Technology,107,285,60600,NY,53800,38568,12607,Liberty League
76,56,87,28880,30278,22062,,"Seattle, WA",Seattle Pacific University,159,291,47200,WA,52974,38940,3202,Great Northwest Athletic Conference
71,68,74,41272,19267,12168,,"Pittsburgh, PA",Duquesne University,124,294,56300,PA,49908,35062,5961,Atlantic 10
73,65,65,35925,17755,11220,,"Rochester, NY",St. John Fisher College,146,297,45600,NY,46370,31880,2805,Eastern College Athletic Conference
21,50,78,25542,8320,5434,10762,"Eugene, OR",University of Oregon,103,299,43200,OR,48186,33442,20538,Pac-12 Conference
8,47,81,30132,6413,4513,11300,"Fairfax, VA",George Mason University,143,300,58100,VA,46660,32582,23062,Atlantic 10
