trial	value
1	4
2	4
3	0
4	2
5	2.4
6	2.66666666666667
7	3.42857142857143
8	3.5
9	2.66666666666667
10	3.6
11	3.27272727272727
12	3.33333333333333
13	3.07692307692308
14	3.71428571428571
15	2.93333333333333
16	3.75
17	3.76470588235294
18	3.11111111111111
19	3.15789473684211
20	3
21	3.42857142857143
22	3.27272727272727
23	3.65217391304348
24	2.66666666666667
25	2.88
26	3.23076923076923
27	2.96296296296296
28	3.57142857142857
29	3.58620689655172
30	3.46666666666667
31	2.96774193548387
32	3.25
33	3.03030303030303
34	2.70588235294118
35	2.74285714285714
36	3.44444444444444
37	2.81081081081081
38	3.26315789473684
39	3.07692307692308
40	3.1
41	3.60975609756098
42	2.85714285714286
43	2.97674418604651
44	3.18181818181818
45	3.11111111111111
46	3.47826086956522
47	3.14893617021277
48	3
49	2.93877551020408
50	3.44
51	3.37254901960784
52	3
53	3.39622641509434
54	3.18518518518519
55	2.98181818181818
56	2.71428571428571
57	3.08771929824561
58	3.10344827586207
59	3.11864406779661
60	3.13333333333333
61	3.34426229508197
62	3.35483870967742
63	2.92063492063492
64	3.0625
65	2.95384615384615
66	3.15151515151515
67	3.46268656716418
68	3.17647058823529
69	3.47826086956522
70	2.97142857142857
71	3.2112676056338
72	3.22222222222222
73	3.23287671232877
74	3.02702702702703
75	2.98666666666667
76	3.21052631578947
77	3.32467532467532
78	3.23076923076923
79	3.08860759493671
80	3.3
81	2.96296296296296
82	3.17073170731707
83	3.13253012048193
84	3.33333333333333
85	3.10588235294118
86	3.11627906976744
87	2.94252873563218
88	3.18181818181818
89	2.92134831460674
90	3.33333333333333
91	3.25274725274725
92	3.17391304347826
93	3.13978494623656
94	3.1063829787234
95	2.86315789473684
96	2.875
97	3.09278350515464
98	3.10204081632653
99	2.86868686868687
100	3.28
101	3.20792079207921
102	3.41176470588235
103	2.9126213592233
104	3.07692307692308
105	3.23809523809524
106	2.86792452830189
107	2.80373831775701
108	3.2962962962963
109	3.26605504587156
110	3.38181818181818
111	3.20720720720721
112	3.21428571428571
113	3.00884955752212
114	3.08771929824561
115	3.30434782608696
116	3
117	3.24786324786325
118	2.98305084745763
119	2.99159663865546
120	3
121	3.27272727272727
122	3.11475409836066
123	3.21951219512195
124	3.19354838709677
125	2.976
126	2.98412698412698
127	3.33858267716535
128	3.15625
129	3.16279069767442
130	3.2
131	3.02290076335878
132	3.12121212121212
133	3.09774436090226
134	3.13432835820896
135	3.28888888888889
136	3.26470588235294
137	2.86131386861314
138	3.39130434782609
139	3.19424460431655
140	2.97142857142857
141	3.12056737588652
142	3.15492957746479
143	3.24475524475524
144	3.22222222222222
145	3.08965517241379
146	2.98630136986301
147	3.15646258503401
148	3.13513513513514
149	3.03355704697987
150	2.8
151	3.04635761589404
152	3.23684210526316
153	3.11111111111111
154	3.22077922077922
155	3.2258064516129
156	2.82051282051282
157	3.10828025477707
158	3.13924050632911
159	3.11949685534591
160	3.3
161	3.22981366459627
