IATA,ID,CITY_NAME,STATE_NAME,label,region
A4K,16698,"Dune Lake, AK",Alaska,"A4K - Dune Lake, AK",Alaska
A51,10064,"Wien Lake, AK",Alaska,"A51 - Wien Lake, AK",Alaska
LOZ,13046,"London/Corbin, KY",Kentucky,"LOZ - London/Corbin, KY",Midwest
XWF,15939,"Jerome, ID",Idaho,"XWF - Jerome, ID",Northwest
RQY,14617,"Comanche, TX",Texas,"RQY - Comanche, TX",Southwest
CEV,10946,"Connersville, IN",Indiana,"CEV - Connersville, IN",Midwest
FDY,11659,"Findlay, OH",Ohio,"FDY - Findlay, OH",Midwest
A40,10053,"Cape Simpson, AK",Alaska,"A40 - Cape Simpson, AK",Alaska
UCY,15433,"Union City, TN",Tennessee,"UCY - Union City, TN",Southeast
AOH,10317,"Lima, OH",Ohio,"AOH - Lima, OH",Midwest
A35,11828,"Kaktovik, AK",Alaska,"A35 - Kaktovik, AK",Alaska
HIF,12131,"Ogden, UT",Utah,"HIF - Ogden, UT",Southwest
RRT,14623,"Warroad, MN",Minnesota,"RRT - Warroad, MN",Midwest
CBA,10886,"Corner Bay, AK",Alaska,"CBA - Corner Bay, AK",Alaska
NH2,16730,"Gorham, NH",New Hampshire,"NH2 - Gorham, NH",Northeast
A37,10050,"Kako, AK",Alaska,"A37 - Kako, AK",Alaska
NY5,16442,"Millbrook, NY",New York,"NY5 - Millbrook, NY",Northeast
FWL,11825,"Farewell, AK",Alaska,"FWL - Farewell, AK",Alaska
SC1,14706,"Beaufort, SC",South Carolina,"SC1 - Beaufort, SC",Southeast
MDF,13219,"Medford, WI",Wisconsin,"MDF - Medford, WI",Midwest
PA5,16525,"West Chester, PA",Pennsylvania,"PA5 - West Chester, PA",Northeast
KZH,12870,"Kizhuyak, AK",Alaska,"KZH - Kizhuyak, AK",Alaska
A04,10017,"Red Lake, AK",Alaska,"A04 - Red Lake, AK",Alaska
WQZ,15838,"Chignik Lake, AK",Alaska,"WQZ - Chignik Lake, AK",Alaska
N2Y,16715,"Seneca Falls, NY",New York,"N2Y - Seneca Falls, NY",Northeast
CUW,11188,"Cube Cove, AK",Alaska,"CUW - Cube Cove, AK",Alaska
ISM,12388,"Orlando, FL",Florida,"ISM - Orlando, FL",Southeast
SPA,14944,"Spartanburg, SC",South Carolina,"SPA - Spartanburg, SC",Southeast
MA1,13152,"Edgartown, MA",Massachusetts,"MA1 - Edgartown, MA",Northeast
OPH,13899,"Ophir, AK",Alaska,"OPH - Ophir, AK",Alaska
O3H,16739,"Columbus, OH",Ohio,"O3H - Columbus, OH",Midwest
TSG,15339,"Tanacross, AK",Alaska,"TSG - Tanacross, AK",Alaska
BCT,10519,"Boca Raton, FL",Florida,"BCT - Boca Raton, FL",Southeast
FQI,11742,"Scott, KY",Kentucky,"FQI - Scott, KY",Midwest
MS4,16743,"Batesville, MS",Mississippi,"MS4 - Batesville, MS",Southeast
CVS,11200,"Clovis, NM",New Mexico,"CVS - Clovis, NM",Southwest
RKR,14542,"Poteau, OK",Oklahoma,"RKR - Poteau, OK",Southwest
TIK,15211,"Oklahoma City, OK",Oklahoma,"TIK - Oklahoma City, OK",Southwest
SSC,14993,"Sumter, SC",South Carolina,"SSC - Sumter, SC",Southeast
GSB,11992,"Goldsboro, NC",North Carolina,"GSB - Goldsboro, NC",Southeast
BAD,10476,"Shreveport, LA",Louisiana,"BAD - Shreveport, LA",Southeast
RND,14565,"San Antonio, TX",Texas,"RND - San Antonio, TX",Southwest
HOP,12187,"Hopkinsville, KY",Kentucky,"HOP - Hopkinsville, KY",Midwest
