DISTANCE_mean,DISTANCE_sum,FREIGHT_mean,FREIGHT_sum,MAIL_mean,MAIL_sum,PASSENGERS_mean,PASSENGERS_sum,origin_dest,source,target,PASSENGERS_sum_norm,FREIGHT_sum_norm,MAIL_sum_norm,DISTANCE_mean_norm
692.0,17992.0,42.53846153846154,1106.0,0.0,0.0,2739.923076923077,71238.0,10135-10397,10135,10397,2.7020612596197227,2.000049386915206,2.0,3.5638418079096046
528.0,528.0,0.0,0.0,0.0,0.0,1.0,1.0,10135-10431,10135,10431,2.0000098551511782,2.0,2.0,3.1932203389830507
50.0,650.0,13176.615384615385,171296.0,0.0,0.0,0.07692307692307693,1.0,10135-10434,10135,10434,2.0000098551511782,2.0076489882704167,2.0,2.1129943502824857
2153.0,6459.0,0.0,0.0,0.0,0.0,131.33333333333334,394.0,10135-10590,10135,10590,2.0038829295641394,2.0,2.0,6.865536723163842
792.0,792.0,0.0,0.0,0.0,0.0,4.0,4.0,10135-10599,10135,10599,2.000039420604712,2.0,2.0,3.7898305084745765
121.0,121.0,0.0,0.0,0.0,0.0,86.0,86.0,10135-10821,10135,10821,2.0008475430013095,2.0,2.0,2.2734463276836157
592.0,592.0,0.0,0.0,0.0,0.0,8.0,8.0,10135-10994,10135,10994,2.000078841209424,2.0,2.0,3.3378531073446327
339.0,1017.0,0.0,0.0,0.0,0.0,21.333333333333332,64.0,10135-11042,10135,11042,2.000630729675393,2.0,2.0,2.766101694915254
481.0,13949.0,135773.8620689655,3937442.0,63.10344827586207,1830.0,1591.2068965517242,46145.0,10135-11057,10135,11057,2.45476595110969,2.1758210797300914,2.0010313891741336,3.087005649717514
503.0,503.0,600.0,600.0,0.0,0.0,0.0,0.0,10135-11193,10135,11193,2.0,2.000026792178231,2.0,3.136723163841808
1539.0,1539.0,0.0,0.0,0.0,0.0,0.0,0.0,10135-11292,10135,11292,2.0,2.0,2.0,5.477966101694916
425.0,13600.0,0.125,4.0,0.0,0.0,1213.5,38832.0,10135-11433,10135,11433,2.3826952305448366,2.0000001786145214,2.0,2.9604519774011298
67.0,670.0,0.0,0.0,0.0,0.0,18.2,182.0,10135-11618,10135,11618,2.0017936375143996,2.0,2.0,2.151412429378531
512.0,512.0,0.0,0.0,0.0,0.0,1.0,1.0,10135-11823,10135,11823,2.0000098551511782,2.0,2.0,3.157062146892655
1041.0,5205.0,0.0,0.0,0.0,0.0,104.6,523.0,10135-11973,10135,11973,2.005154244066104,2.0,2.0,4.352542372881356
398.0,398.0,0.0,0.0,0.0,0.0,1.0,1.0,10135-11995,10135,11995,2.0000098551511782,2.0,2.0,2.8994350282485875
543.0,1086.0,0.0,0.0,0.0,0.0,5.0,10.0,10135-11996,10135,11996,2.00009855151178,2.0,2.0,3.2271186440677964
95.0,285.0,0.0,0.0,0.0,0.0,43.0,129.0,10135-12197,10135,12197,2.0012713145019645,2.0,2.0,2.214689265536723
169.0,169.0,0.0,0.0,0.0,0.0,2.0,2.0,10135-12222,10135,12222,2.000019710302356,2.0,2.0,2.381920903954802
451.0,9922.0,959352.0,21105744.0,0.0,0.0,0.0,0.0,10135-12324,10135,12324,2.0,2.942448091574911,2.0,3.0192090395480227
578.0,6936.0,586041.5,7032498.0,0.0,0.0,0.0,0.0,10135-12339,10135,12339,2.0,2.314026566374745,2.0,3.306214689265537
87.0,87.0,1010.0,1010.0,0.0,0.0,0.0,0.0,10135-12478,10135,12478,2.0,2.000045100166689,2.0,2.1966101694915254
2161.0,2161.0,0.0,0.0,0.0,0.0,118.0,118.0,10135-12889,10135,12889,2.001162907839006,2.0,2.0,6.88361581920904
400.0,400.0,30765.0,30765.0,0.0,0.0,0.0,0.0,10135-12917,10135,12917,2.0,2.0013737689387923,2.0,2.903954802259887
83.0,332.0,0.0,0.0,0.0,0.0,5.5,22.0,10135-12953,10135,12953,2.0002168133259164,2.0,2.0,2.1875706214689266
906.0,1812.0,0.0,0.0,0.0,0.0,78.5,157.0,10135-13204,10135,13204,2.001547258734949,2.0,2.0,4.047457627118645
883.0,10596.0,805783.75,9669405.0,0.0,0.0,0.0,0.0,10135-13244,10135,13244,2.0,2.4317740369121745,2.0,3.9954802259887003
914.0,914.0,0.0,0.0,0.0,0.0,1.0,1.0,10135-13360,10135,13360,2.0000098551511782,2.0,2.0,4.0655367231638415
518.0,3626.0,0.0,0.0,0.0,0.0,1460.4285714285713,10223.0,10135-13577,10135,13577,2.100749210492889,2.0,2.0,3.1706214689265537
2490.0,2490.0,1428612.0,1428612.0,0.0,0.0,0.0,0.0,10135-13796,10135,13796,2.0,2.0637927122114728,2.0,7.627118644067797
2342.0,21078.0,1219826.888888889,10978442.0,0.0,0.0,0.0,0.0,10135-13891,10135,13891,2.0,2.490227291270369,2.0,7.292655367231639
655.0,14410.0,0.0,0.0,0.0,0.0,1550.8181818181818,34118.0,10135-13930,10135,13930,2.336238047891655,2.0,2.0,3.480225988700565
1018.0,12216.0,0.0,0.0,0.0,0.0,1844.0833333333333,22129.0,10135-14082,10135,14082,2.218084640418384,2.0,2.0,4.300564971751413
55.0,770.0,67.92857142857143,951.0,0.0,0.0,1933.7142857142858,27072.0,10135-14100,10135,14100,2.266798652691332,2.000042465602496,2.0,2.1242937853107344
970.0,11640.0,0.0,0.0,0.0,0.0,1781.6666666666667,21380.0,10135-14112,10135,14112,2.2107031321860475,2.0,2.0,4.192090395480227
717.0,1434.0,1310214.5,2620429.0,0.0,0.0,0.0,0.0,10135-14512,10135,14512,2.0,2.1170116680159463,2.0,3.6203389830508472
178.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,10135-14553,10135,14553,2.0,2.0,2.0,2.4022598870056497
2435.0,2435.0,51600.0,51600.0,0.0,0.0,0.0,0.0,10135-14716,10135,14716,2.0,2.002304127327862,2.0,7.502824858757062
576.0,1152.0,27562.0,55124.0,0.0,0.0,0.0,0.0,10135-14730,10135,14730,2.0,2.0024614867213386,2.0,3.301694915254237
882.0,10584.0,0.0,0.0,0.0,0.0,4163.583333333333,49963.0,10135-14761,10135,14761,2.4923929183073668,2.0,2.0,3.993220338983051
74.0,148.0,0.0,0.0,0.0,0.0,1.5,3.0,10135-15167,10135,15167,2.0000295654535343,2.0,2.0,2.167231638418079
962.0,4810.0,1239068.0,6195340.0,0.0,0.0,0.0,0.0,10135-15304,10135,15304,2.0,2.2766444224689595,2.0,4.174011299435028
913.0,2739.0,0.0,0.0,0.0,0.0,68.0,204.0,10135-15502,10135,15502,2.002010450840316,2.0,2.0,4.063276836158192
63.0,63.0,1449.0,1449.0,0.0,0.0,0.0,0.0,10135-15842,10135,15842,2.0,2.0000647031104277,2.0,2.142372881355932
154.0,154.0,0.0,0.0,0.0,0.0,35.0,35.0,10136-10155,10136,10155,2.000344930291231,2.0,2.0,2.3480225988700565
1162.0,1162.0,0.0,0.0,0.0,0.0,1.0,1.0,10136-10329,10136,10329,2.0000098551511782,2.0,2.0,4.625988700564972
876.0,6132.0,0.0,0.0,0.0,0.0,63.857142857142854,447.0,10136-10590,10136,10590,2.0044052525765745,2.0,2.0,3.9796610169491524
60.0,60.0,895.0,895.0,0.0,0.0,0.0,0.0,10136-10817,10136,10817,2.0,2.0000399649991945,2.0,2.135593220338983
523.0,523.0,0.0,0.0,0.0,0.0,136.0,136.0,10136-11109,10136,11109,2.0013403005602104,2.0,2.0,3.1819209039548024
