FEATURE_ID,FEATURE_NA,FEATURE_CL,STATE_ALPH,STATE_NUME,COUNTY_NAM,COUNTY_NUM,PRIMARY_LA,PRIM_LONG_,PRIM_LAT_D,PRIM_LON_1,SOURCE_LAT,SOURCE_LON,SOURCE_L_1,SOURCE_L_2,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREAT,DATE_EDITE
600138,Charles River Square,Park,MA,25,Suffolk,25,422137N,0710418W,42.360375200000000,-71.071718000000004,,,,,4,13,Boston South,08/27/2002,
600139,Thomas Park,Park,MA,25,Suffolk,25,421957N,0710246W,42.332597900000003,-71.046161499999997,,,,,42,138,Boston South,08/27/2002,
600140,Boston National Historical Park,Park,MA,25,Suffolk,25,422224N,0710321W,42.373377499999997,-71.055749199999994,,,,,1,3,Boston South,08/27/2002,05/23/2017
600141,Thompson Square,Park,MA,25,Middlesex,17,422229N,0710353W,42.374819400000000,-71.064773500000001,,,,,6,20,Boston South,08/27/2002,
600142,Cambridge Common,Park,MA,25,Middlesex,17,422237N,0710714W,42.377041300000002,-71.120608300000001,,,,,8,26,Boston North,08/27/2002,
600143,Benjamin Franklin Birthplace Site,Park,MA,25,Suffolk,25,422125N,0710330W,42.357041899999999,-71.058384300000000,,,,,9,30,Boston South,08/27/2002,
600154,Great Meadows National Wildlife Refuge,Park,MA,25,Middlesex,17,422318N,0712227W,42.388311500000000,-71.374305100000001,,,,,36,118,Concord,08/27/2002,05/20/2017
600156,Medfield Rhododendron Reservation,Park,MA,25,Norfolk,21,421033N,0711840W,42.175931200000001,-71.311167699999999,,,,,35,115,Medfield,08/27/2002,
600173,Salem Willows Park,Park,MA,25,Essex,9,423210N,0705208W,42.536206499999999,-70.868937299999999,,,,,6,20,Marblehead North,08/27/2002,
600311,Ashley Park,Park,MA,25,Bristol,5,413709N,0705546W,41.619270999999998,-70.929482500000006,,,,,5,16,New Bedford South,08/27/2002,
