FEATURE_ID,FEATURE_NA,FEATURE_CL,STATE_ALPH,STATE_NUME,COUNTY_NAM,COUNTY_NUM,PRIMARY_LA,PRIM_LONG_,PRIM_LAT_D,PRIM_LON_1,SOURCE_LAT,SOURCE_LON,SOURCE_L_1,SOURCE_L_2,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREAT,DATE_EDITE
1916774,Plymouth Town Common,Park,NH,33,Grafton,9,434527N,0714118W,43.757572199999998,-71.688411599999995,,,,,158,518,Plymouth,05/08/2001,
1916782,Remich Park,Park,NH,33,Grafton,9,441837N,0714605W,44.310339100000000,-71.768144000000007,,,,,274,899,Littleton,05/08/2001,
1916789,Rowbartwood Marsh Wildlife Management Area,Park,NH,33,Grafton,9,434900N,0714333W,43.816737600000003,-71.725912800000003,,,,,259,850,Plymouth,05/08/2001,
1916833,Storrs Pond Recreation Area,Park,NH,33,Grafton,9,434330N,0721544W,43.725070700000003,-72.262312499999993,,,,,146,479,Hanover,05/08/2001,
1916846,The Dells,Park,NH,33,Grafton,9,441839N,0714749W,44.310894500000003,-71.797033499999998,,,,,234,768,Littleton,05/08/2001,
1916851,The Mall,Park,NH,33,Grafton,9,433838N,0721512W,43.643960100000001,-72.253423600000005,,,,,176,577,Hanover,05/08/2001,
1916867,Tuck Mall,Park,NH,33,Grafton,9,434218N,0721733W,43.705070499999998,-72.292590899999993,,,,,159,522,Hanover,05/08/2001,
1916909,White Mountain Motorsports Park,Park,NH,33,Grafton,9,440137N,0714104W,44.027011600000002,-71.684525300000004,,,,,218,715,Lincoln,05/08/2001,
1917003,Concord Civic District,Park,NH,33,Merrimack,13,431227N,0713218W,43.207580999999998,-71.538405100000006,,,,,86,282,Concord,05/08/2001,
1917006,Concord Historic District,Park,NH,33,Merrimack,13,431257N,0713228W,43.215914200000000,-71.541183099999998,,,,,77,253,Concord,05/08/2001,
1917015,Contoocook Park,Park,NH,33,Merrimack,13,431608N,0713637W,43.268968299999997,-71.610352100000000,,,,,108,354,Penacook,05/08/2001,
