tweet_id,time,lat,lon,goog_x,goog_y,sender_id,sender_nam,source,reply_to_u,reply_to_t,place_id,tweet_text
746281724821176000,2016-06-24 10:00:03,-15.778499999999900,-47.928699999999900,-5335398.477650000000000,-1779085.967960000000000,1266909829,trendinaliaBR,Tend?¬ncias Brasil,0,0,5722ff20ba67083b,1. Reino Unido 2. #confissoesdamadrugada 3. #Brexit 4. #Arrai?íDeS?úoJo?úoClubeSdv 5. #1DStayWithUs  2016/6/24 06:47 BRT
746281731028770000,2016-06-24 10:00:04,19.431899999999900,-99.132900000000000,-11035423.947300000000000,2205851.730000000000000,1181997601,trendinaliaMX,Trendinalia M??xico,0,0,bfc35dcc7e63252a,1. #Brexit 2. #EsNocheDeSexoY 3. David Cameron 4. #1DStayWithUs 5. #MeBeforeYou  2016/6/24 04:57 CDT #trndnl https://t.co/IN7801UqsL
746281729078362000,2016-06-24 10:00:04,26.350777000000000,-80.069250999999900,-8913268.248300000000000,3042591.441970000000000,174303316,ClickWhisperer,MI360,0,0,d1cd39353c51904d,David Cameron to resign as prime minister in October as Britain votes Brexit https://t.co/BrchflxKcw
746281735449518000,2016-06-24 10:00:05,10.496000000000000,-66.898300000000000,-7447084.689910000000000,1174999.750200000000000,17916058,trendinaliaVE,Es Tendencia en Venezuela,0,0,00ec4c32070f5076,1. #Brexit 2. David Cameron 3. Reino Unido 4. Gran Breta??a 5. #FelizCumpleMessi  2016/6/24 05:22 VET #trndnl https://t.co/TZZWvFfY1p
746281737785745000,2016-06-24 10:00:06,-33.463000000000000,-70.647900000000000,-7864488.252540000000000,-3956921.961160000000000,1182010928,trendinaliaCL,Es Tendencia en Chile,0,0,0010b4cb51ca93d8,1. #Brexit 2. David Cameron 3. #DespuesDelCaos 4. Gran Breta??a 5. Union Europea  2016/6/24 05:52 CLT #trndnl https://t.co/xGRvgIQjMk
746281742307254000,2016-06-24 10:00:07,21.786600000000000,82.794799999999900,9216674.975070000000000,2485923.215930000000000,1270150182,trendinaliaIN,Trends from India,0,0,22370cbe98646150,1. #Brexit 2. #MoveMumbai 3. #FlipkartFashionSaleOn 4. #FunWithMundiDance 5. #AajTakKaOfficeOfProfit  2016/6/24 15:27 IST
746281744500854000,2016-06-24 10:00:07,18.486699999999900,-69.940500000000000,-7785740.844760000000000,2094595.371020000000000,1259332171,trendinaliaDO,Es Tendencia en Dominicana,0,0,01fcc4a23f17e1ed,1. #Brexit 2. FARC 3. Uni??n Europea 4. #NBADraft 5. CLICK PARA VER MAS  2016/6/24 05:57 AST #trndnl https://t.co/b28Rg0WjMN
746281746866462000,2016-06-24 10:00:08,52.516100000000000,13.377000000000000,1489120.828140000000000,6893986.344570000000000,1336218432,trendinaliaDE,Deutschland in Trends,0,0,3078869807f9dd36,1. #Brexit 2. #EURefResults 3. David Cameron 4. #Friedenspreis 5. Britain  2016/6/24 11:57 CEST #trndnl https://t.co/p8qpEIM5hj
746281749034872000,2016-06-24 10:00:08,-34.608499999999900,-58.373500000000000,-6498108.294930000000000,-4110804.316620000000000,1180083066,trendinaliaAR,Es Tendencia en Argentina,0,0,018f1cde6bad9747,1. #BuenViernes 2. #FelizCumpleMessi 3. #Brexit 4. #Felices38Se??orFutbol 5. #AMiQueMeFalteTodoMenos  2016/6/24 06:52 ART
746281751392067000,2016-06-24 10:00:09,4.656400000000000,-74.117800000000000,-8250755.753590000000000,518919.612637000000000,1180020318,trendinaliaCO,Es Tendencia en Colombia,0,0,0161be1b3f98d6c3,1. #Brexit 2. Uni??n Europea 3. #YOCONOZCOUNAQUE 4. #temblor 5. Gran Breta??a  2016/6/24 04:57 COT #trndnl https://t.co/cSmLh2Ssg4
746281753560518000,2016-06-24 10:00:09,41.903100000000000,12.495799999999900,1391026.092860000000000,5146475.326900000000000,1361634884,trendinaliaIT,Tendenze Italia,0,0,7d588036fe12e124,1. #Brexit 2. #1DStayWithUs 3. Inghilterra 4. Trump 5. Unione Europea  2016/6/24 11:52 CEST #trndnl https://t.co/1z2nx2qb8e
746281755179626000,2016-06-24 10:00:10,49.839683000000000,24.029717000000000,2674975.859980000000000,6418557.912130000000000,1199839232,wz_online,WZ_lviv,0,0,084d0d0155787e9d,"?É?Ç'?ö??: ""?æ?Ä?Ç?? ?ƒ?É?á?ä ?ê?????â?????? Brexit ?û ???????? ?????é?????û ???? ??????????????... https://t.co/1HEcPEnOFz  #WZ #?¢?î???û?? #Lviv #?¥?????????? #?É?Ç?ö?? #..."
746281755955494000,2016-06-24 10:00:10,-0.024400000000000,37.903900000000000,4219442.846500000000000,-2716.195657060000000,1409839502,trendinaliaKE,Kenya's Trends,0,0,01a27767608b7265,1. #Brexit 2. #HelpAChildReach5 3. #TECNOC9Launch 4. #Strathgrad2016 5. #IndustryNiteTourMeru  2016/6/24 12:52 EAT https://t.co/6AyDQDZQ89
746281760892215000,2016-06-24 10:00:11,-1.789900000000000,-78.095799999999900,-8693584.687900000000000,-199283.173107000000000,1182074978,trendinaliaEC,Es Tendencia en Ecuador,0,0,002d598a64beb856,1. #Brexit 2. Uni??n Europea 3. #NoCompresEnTia 4. #PazenColombia 5. #LaD??cadaGanada  2016/6/24 04:52 ECT #trndnl https://t.co/ImTx1Tdu04
